lon,lat
-83.98,36.55
-86.24,35.41
-85.39,36.3
-88.7,36.28
-84.85,35.77
-89.92,35.23
-89.84,35.08
-84.99,35.27
-84.11,36.38
-90.02,35.04
-88.82,35.68
-89.19,36.26
-83.08,36.5
-84.71,35.11
-85.66,35.73
-86.8,36.15
-88.88,35.69
-86.59,36.49
-85.33,35.15
-85.2,35.98
-83.0,35.89
-89.93,35.22
-86.81,36.14
-86.11,35.19
-82.56,36.55
-82.97,36.17
-88.42,36.0
-88.52,36.13
-87.76,35.32
-84.69,36.15
-84.88,35.16
-90.06,35.06
-88.65,35.6
-88.11,36.38
-89.57,35.67
-90.0,35.13
-85.19,36.25
-88.3,35.89
-86.74,36.33
-85.35,35.14
-87.45,35.83
-88.36,35.51
-89.76,35.18
-85.51,36.16
-87.25,35.93
-83.56,35.79
-86.47,35.48
-87.7,35.15
-90.05,35.14
-84.08,35.93
-87.45,35.8
-88.11,35.54
-86.81,36.18
-89.38,35.06
-82.2,36.24
-85.19,36.37
-89.98,35.15
-86.89,35.92
-88.99,35.54
-83.19,35.96
-86.52,36.21
-86.64,36.04
-83.97,35.76
-87.66,36.14
-85.23,35.03
-87.34,36.53
-85.65,36.36
-89.98,35.06
-86.8,36.19
-85.99,35.56
-89.52,36.26
-88.65,35.86
-83.31,36.22
-87.41,36.38
-85.31,35.05
-89.91,35.11
-85.27,36.14
-82.59,36.21
-88.82,35.03
-85.86,35.54
-83.05,36.0
-87.65,35.87
-90.05,35.14
-89.62,35.32
-88.06,36.24
-86.8,35.45
-86.8,36.13
-82.7,36.53
-85.94,35.59
-85.02,35.95
-83.56,36.43
-89.95,35.18
-84.65,35.68
-87.26,36.04
-86.34,35.5
-88.0,36.11
-82.46,36.41
-89.17,36.34
-83.58,36.45
-84.73,35.0
-86.84,35.93
-88.85,36.34
-86.31,36.21
-88.23,35.23
-86.78,36.11
-83.1,36.27
-85.09,35.17
-86.39,35.75
-88.44,35.18
-83.6,36.44
-89.22,35.82
-85.65,36.34
-89.86,35.05
-86.62,35.62
-84.7,36.27
-87.3,36.36
-89.48,36.22
-87.28,35.03
-83.99,35.97
-86.69,36.48
-86.32,36.51
-88.85,35.87
-86.51,35.97
-83.58,35.86
-89.72,35.48
-84.81,36.37
-86.61,36.32
-87.99,35.78
-86.34,35.87
-89.33,35.07
-86.79,36.17
-90.05,35.15
-84.97,36.22
-83.67,36.25
-88.86,35.6
-88.33,36.45
-84.05,35.83
-87.17,35.76
-85.39,35.37
-89.85,35.1
-88.91,35.84
-85.33,35.0
-85.95,36.01
-84.66,35.32
-86.81,36.15
-82.56,36.58
-83.03,36.15
-88.78,35.76
-89.77,35.09
-85.79,35.32
-85.85,36.1
-86.07,35.32
-88.86,35.59
-86.17,35.62
-84.53,35.33
-89.94,35.05
-86.79,36.16
-84.14,36.1
-89.85,35.09
-85.14,36.57
-88.8,36.15
-84.64,36.01
-88.59,35.17
-86.91,36.33
-82.38,36.31
-84.87,35.16
-83.14,36.26
-86.78,36.16
-84.18,36.33
-84.65,35.17
-86.14,36.11
-89.12,36.43
-84.61,36.05
-83.54,35.78
-88.6,35.32
-86.82,36.09
-82.66,36.56
-85.35,35.0
-88.67,36.47
-87.58,36.47
-87.88,35.59
-88.13,35.64
-83.92,35.96
-90.0,35.13
-87.36,35.59
-88.27,35.94
-83.89,36.03
-82.33,36.45
-85.2,36.45
-89.54,35.07
-82.56,36.53
-83.27,36.19
-85.78,35.68
-87.43,36.08
-85.31,35.07
-85.03,36.26
-82.55,36.23
-89.85,35.23
-89.24,36.1
-84.23,35.34
-88.41,35.34
-83.86,35.9
-87.27,36.52
-89.68,35.06
-87.01,35.05
-84.57,36.33
-86.03,36.35
-89.96,35.07
-86.65,35.87
-83.92,36.0
-83.94,35.83
-85.85,36.53
-87.07,36.28
-83.93,35.95
-90.04,35.14
-87.24,35.84
-88.77,35.92
-83.94,35.78
-85.23,35.0
-87.4,36.56
-81.75,36.37
-85.75,36.28
-89.87,35.18
-85.17,35.28
-89.81,35.42
-85.78,35.69
-85.27,35.03
-89.92,35.16
-89.79,35.15
-84.97,35.96
-82.1,36.17
-88.95,35.05
-86.77,36.16
-87.04,36.38
-84.44,36.06
-89.87,35.05
-87.14,35.13
-89.58,35.99
-87.76,35.95
-88.77,35.72
-87.79,35.78
-86.66,36.16
-82.21,36.35
-85.26,35.1
-83.98,35.78
-87.79,36.09
-83.82,35.78
-83.22,36.54
-86.79,36.16
-84.49,36.41
-90.05,35.15
-85.9,35.2
-83.29,36.11
-82.33,36.35
-84.87,35.26
-88.46,36.21
-84.07,36.19
-88.24,35.5
